"","gene_endo_factor3","gene_endo_factor8","gene_endo_factor15","gene_endo_factor17"
"114","Clk1","Nipal3","Tfe3","Larp7"
"115","Kdm6b","Icam2","Fosl2","Ncf2"
"116","Srsf5","Pard6g","Atf4","Fam69a"
"117","Dll1","Cav1","Nfe2l2","Rps20"
"118","Pank2","Ltbp1","Slc25a33","Fam114a1"
"119","Ebf1","Prdm11","Fut2","Rps6"
"120","Jak3","Tnrc6c","Phf23","Ifi27l2a"
"121","Stmn4","Zfp472","1810055G02Rik","Snrpg"
"122","Aacs","Atp13a2","Errfi1","Sec61b"
"123","Sdcbp2","Ifitm10","Coq10b","Set"
"124","Birc5","Ptprb","Clk1","Tufm"
"125","Bbc3","Rnf144a","Rnf185","Tfap2a"
"126","Elmsan1","Itm2b","Chd1","Hmgb3"
"127","N4bp2l2","Gm10031","Nuak2","Tsen54"
"128","N4bp2l1","Mill2","Bcr","Rps15a"
"129","Pnrc1","Nlgn2","2010111I01Rik","Rpl14"
"130","Trit1","Luzp1","Nup210l","Rpsa"
"131","Milr1","Pde3a","Ippk","Clns1a"
"132","Shb","Sgip1","Peli1","Fam132a"
"133","Ldlrad4","Cep83os","Ssh1","Rpl29"
"134","Camk2n2","Ghr","Snai2","Strap"
"135","Cdc42ep4","Jup","Nt5dc3","Txnrd2"
"136","Elovl6","Adgrf5","Etf1","Rpl12"
"137","Homer1","Prx","Klf6","Serpina3n"
"138","Gm17455","Sema3g","Epha2","Trp53I13"
"139","Zc3h6","Bdp1","Gadd45a","Srm"
"140","Med13l","H2-M3","Neat1","Psenen"
"141","Mt2","Fam208a","Hspa5","Eef1d"
"142","Pim3","Olfr56","Slc7a1","Myo19"
"143","Cirbp","Oas2","Gm27010","Efl1"
"144","Gpbp1","Tap1","Dnaja1","Fuca2"
"145","Sun2","P2rx4","Sat1","Eif3k"
"146","Apon","Cadps2","Mcl1","Tomm20"
"147","Slc6a6","Sema3c","Brd2","Numbl"
"148","Atrnl1","Prex2","Tgoln1","Glrx5"
"149","Tef","Adrb2","Rabgef1","Drap1"
"150","Ctps","Nkd1","Tiparp","Tma7"
"151","Sbsn","Cav2","Map2k3","Bysl"
"152","Armc3","Meis1","Rnd1","Cyb5r1"
"153","Mapk15","Amigo1","Pvr","Etfa"
"154","Mecom","Nckap5","Arf6","Gm3550"
"155","Hdc","Plxnc1","Eif1a","Tsc2"
"156","Fut2","Snx21","Cars","Rpl37"
"157","Eogt","Arl4d","Sec24a","Tomm7"
"158","Sec1","Stt3b","Atg2a","Serpinb9"
"159","Cep63","Cd47","Cd14","Glra1"
"160","Exoc3l4","Adgrl3","Lmna","Zfp354b"
"161","Gm26767","Numb","Prr7","Crls1"
"162","Oaf","Akap7","Kansl3","Llph"
"163","Patl1","Ifi47","Nfat5","Tspan5"
"164","Samsn1","H2-T24","Tmem11","Rpl36al"
"165","Gm15728","Cacfd1","Hspd1","Rpl13"
"166","Borcs6","Akap9","Ddx3Y","Rps18"
"167","Crybb3","1110034G24Rik","Pcna","Rps13"
"168","Zhx2","Gm4951","Nedd9","Tmem189"
"169","Samd14","Ido1","Sdc4","Rps26"
"170","Fbxw10","Slc16A9","Glul","Hspb11"
"171","Map3k14","Thap3","Gpr4","Zfp667"
"172","Slc25a47","Atp2a3","Tsc22d2","Commd7"
"173","Rbm12b1","Efnb2","Serpine1","Mrpl30"
"174","Rbm48","Gkap1","Dnajb4","S100A11"
"175","Ddit4","Ly6c1","Bcl10","Rpl17"
"176","Gm26545","Glb1L2","Eed","Ndufb6"
"177","Gm10605","Ucp2","Ipmk","Rpl35a"
"178","Mettl2","Champ1","Ccr7","Rps28"
"179","Pim1","S1pr1","Smim24","Timp1"
"180","Dph5","Cep290","P2ry2","Rsl24d1"
"181","Mrpl38","Qsox1","Nod2","Tbc1d24"
"182","Ddx31","Hilpda","Slc20a1","Eif5a"
"183","Cdkl1","Ctsd","Trps1","Sec61a1"
"184","Ctrb1","Snx14","Abl2","Nhp2"
"185","Bcor","Nucks1","Radil","Rpl24"
"186","Irf1","Epha4","Klf11","Mrpl10"
"187","Lyrm7","Ntn1","Yrdc","Pus7"
"188","Lemd2","Aph1a","Furin","Rack1"
"189","Icam1","Ehd4","Olfr328","Tor1aip2"
"190","Tmem91","Tmeff1","1810013L24Rik","Commd1"
"191","Epb41l4aos","Taz","Hmox1","Pitpna"
"192","Fbxo28","Gcfc2","Wac","Bex3"
"193","2310015A10Rik","Dhcr24","Neurl3","Rps15"
"194","Fgf2","Ankrd44","Relb","Macrod1"
"195","Mga","Aatk","Hspa1b","Atpif1"
"196","Mb21d2","Fgfr3","Arl5b","Ssr4"
"197","Ninj1","Aard","Iqgap1","Prelp"
"198","Pik3r5","Gcc2","Gprc5a","Ngf"
"199","Ints6","Acap2","Sqstm1","P2ry6"
"200","Alg12","Alas1","Gm12840","Znrd1"
