"","gene.name","X","raw.P.values","Adjusted.P.values","Log.fold.change"
"163"," ENSMUSG00000025224 "," Gbf1 ",0.00011,0.00205,-0.73
"164"," ENSMUSG00000035941 "," Ibtk ",4.69e-05,0.00103,-0.726
"165"," ENSMUSG00000026434 "," Nucks1 ",6.57e-05,0.00134,-0.725
"166"," ENSMUSG00000053080 "," 2700081O15Rik ",0.000274,0.00421,-0.724
"167"," ENSMUSG00000007613 "," Tgfbr1 ",1.2e-06,5.07e-05,-0.724
"168"," ENSMUSG00000032000 "," Birc3 ",9.83e-06,0.000282,-0.722
"169"," ENSMUSG00000035200 "," Chrnb4 ",0.00269,0.0242,-0.72
"170"," ENSMUSG00000034220 "," Gpc1 ",5.65e-07,2.7e-05,-0.719
"171"," ENSMUSG00000022148 "," Fyb ",0.00336,0.0285,-0.719
"172"," ENSMUSG00000037169 "," Mycn ",0.012,0.0717,-0.717
"173"," ENSMUSG00000032332 "," Col12a1 ",2.29e-07,1.3e-05,-0.714
"174"," ENSMUSG00000001128 "," Cfp ",0.00962,0.0611,-0.71
"175"," ENSMUSG00000042350 "," Arel1 ",7.06e-05,0.00142,-0.704
"176"," ENSMUSG00000029287 "," Tgfbr3 ",7.28e-06,0.000222,-0.703
"177"," ENSMUSG00000062232 "," Rapgef2 ",3.87e-08,2.73e-06,-0.699
"178"," ENSMUSG00000033386 "," Frrs1 ",1.88e-05,0.000479,-0.698
"179"," ENSMUSG00000030930 "," Chst15 ",0.000199,0.00326,-0.696
"180"," ENSMUSG00000028556 "," Dock7 ",0.00054,0.00705,-0.695
"181"," ENSMUSG00000032086 "," Bace1 ",6.17e-06,0.000194,-0.695
"182"," ENSMUSG00000062960 "," Kdr ",9.53e-10,1.03e-07,-0.69
"183"," ENSMUSG00000024665 "," Fads2 ",0.0019,0.0188,-0.689
"184"," ENSMUSG00000033792 "," Atp7a ",7.7e-05,0.00151,-0.689
"185"," ENSMUSG00000036529 "," Sbf1 ",0.00156,0.0162,-0.688
"186"," ENSMUSG00000020300 "," Cpeb4 ",5.67e-07,2.7e-05,-0.687
"187"," ENSMUSG00000053641 "," Dennd4a ",0.00172,0.0173,-0.687
"188"," ENSMUSG00000038521 "," C1s1 ",4.22e-05,0.000941,-0.687
"189"," ENSMUSG00000033278 "," Ptprm ",4.18e-06,0.000143,-0.686
"190"," ENSMUSG00000000305 "," Cdh4 ",0.00401,0.0325,-0.685
"191"," ENSMUSG00000102329 "," Gm10851 ",0.000653,0.00817,-0.683
"192"," ENSMUSG00000031216 "," Stard8 ",0.00271,0.0243,-0.682
"193"," ENSMUSG00000051379 "," Flrt3 ",5.86e-06,0.000187,-0.681
"194"," ENSMUSG00000028339 "," Col15a1 ",0.0359,0.154,-0.68
"195"," ENSMUSG00000020827 "," Mink1 ",0.00012,0.00217,-0.679
"196"," ENSMUSG00000039115 "," Itga9 ",2.77e-08,2.04e-06,-0.678
"197"," ENSMUSG00000079484 "," Phyhd1 ",0.0043,0.0343,-0.678
"198"," ENSMUSG00000029992 "," Gfpt1 ",0.000319,0.00474,-0.675
"199"," ENSMUSG00000034422 "," Parp14 ",6.8e-05,0.00138,-0.674
"200"," ENSMUSG00000026193 "," Fn1 ",0.00105,0.0119,-0.673
"201"," ENSMUSG00000032572 "," Col6a4 ",0.0147,0.0829,-0.673
"202"," ENSMUSG00000026335 "," Pam ",0.00137,0.0148,-0.668
"203"," ENSMUSG00000023994 "," Nfya ",0.000395,0.00563,-0.667
"204"," ENSMUSG00000051855 "," Mest ",0.000103,0.00193,-0.667
"205"," ENSMUSG00000039286 "," Fndc3b ",0.00015,0.00262,-0.667
"206"," ENSMUSG00000036792 "," Mbd5 ",0.00027,0.00417,-0.666
"207"," ENSMUSG00000067851 "," Arfgef1 ",2.23e-05,0.000548,-0.665
"208"," ENSMUSG00000026657 "," Frmd4a ",2.42e-06,9.22e-05,-0.664
"209"," ENSMUSG00000074151 "," Nlrc5 ",1.15e-05,0.000324,-0.664
"210"," ENSMUSG00000027962 "," Vcam1 ",0.000507,0.00675,-0.662
"211"," ENSMUSG00000035356 "," Nfkbiz ",0.0123,0.0728,-0.662
"212"," ENSMUSG00000031434 "," Morc4 ",3.89e-06,0.000136,-0.659
"213"," ENSMUSG00000031129 "," Slc9a9 ",0.000312,0.00467,-0.657
"214"," ENSMUSG00000035273 "," Hpse ",0.00185,0.0184,-0.656
"215"," ENSMUSG00000040690 "," Col16a1 ",9.55e-05,0.00181,-0.655
"216"," ENSMUSG00000070733 "," Fryl ",0.00297,0.026,-0.655
"217"," ENSMUSG00000074577 "," Fam65c ",0.000351,0.00513,-0.652
"218"," ENSMUSG00000066232 "," Ipo7 ",1.49e-05,0.000404,-0.649
"219"," ENSMUSG00000018068 "," Ints2 ",0.000595,0.0076,-0.648
"220"," ENSMUSG00000033209 "," Ttc28 ",1.43e-06,5.91e-05,-0.648
"221"," ENSMUSG00000022371 "," Col14a1 ",0.00329,0.028,-0.647
"222"," ENSMUSG00000022197 "," Pdzd2 ",0.000408,0.00577,-0.647
"223"," ENSMUSG00000054252 "," Fgfr3 ",0.0032,0.0274,-0.645
"224"," ENSMUSG00000032487 "," Ptgs2 ",0.00357,0.03,-0.643
"225"," ENSMUSG00000071713 "," Csf2rb ",2.49e-05,0.000602,-0.643
"226"," ENSMUSG00000024483 "," Ankhd1 ",5.87e-05,0.00123,-0.639
"227"," ENSMUSG00000031877 "," Ces2g ",5.33e-05,0.00114,-0.639
"228"," ENSMUSG00000009376 "," Met ",0.000363,0.00527,-0.638
"229"," ENSMUSG00000005397 "," Nid1 ",3.21e-05,0.000746,-0.636
"230"," ENSMUSG00000003226 "," Ranbp2 ",1.49e-06,6.13e-05,-0.636
"231"," ENSMUSG00000031886 "," Ces2e ",0.00153,0.0159,-0.636
"232"," ENSMUSG00000001376 "," Ccdc132 ",4.95e-06,0.000165,-0.634
"233"," ENSMUSG00000036833 "," Pnpla7 ",0.0111,0.0673,-0.634
"234"," ENSMUSG00000033902 "," Mapkbp1 ",0.00158,0.0164,-0.631
"235"," ENSMUSG00000016918 "," Sulf1 ",0.00371,0.0308,-0.631
"236"," ENSMUSG00000018209 "," Stk4 ",0.000819,0.00972,-0.63
"237"," ENSMUSG00000000631 "," Myo18a ",4.49e-06,0.000151,-0.629
"238"," ENSMUSG00000017493 "," Igfbp4 ",0.0119,0.0713,-0.629
"239"," ENSMUSG00000106847 "," Peg13 ",0.00106,0.012,-0.627
"240"," ENSMUSG00000054555 "," Adam12 ",0.00646,0.0462,-0.627
"241"," ENSMUSG00000035248 "," Zcchc6 ",0.00112,0.0124,-0.626
"242"," ENSMUSG00000024042 "," Sik1 ",0.000333,0.00489,-0.626
"243"," ENSMUSG00000038518 "," Jarid2 ",0.000517,0.00684,-0.625
