"","gene.name","X","raw.P.values","Adjusted.P.values","Log.fold.change"
"321"," ENSMUSG00000064289 "," Tank ",0.00765,0.0521,-0.547
"322"," ENSMUSG00000024085 "," Man2a1 ",0.0186,0.0979,-0.547
"323"," ENSMUSG00000029313 "," Aff1 ",1.25e-06,5.24e-05,-0.545
"324"," ENSMUSG00000040297 "," Suco ",3.78e-05,0.000858,-0.544
"325"," ENSMUSG00000035314 "," Gdpd5 ",1.51e-06,6.19e-05,-0.543
"326"," ENSMUSG00000030946 "," Lhpp ",0.00424,0.0339,-0.543
"327"," ENSMUSG00000026112 "," Coa5 ",0.00112,0.0125,-0.543
"328"," ENSMUSG00000020021 "," Fgd6 ",0.00408,0.0329,-0.54
"329"," ENSMUSG00000057133 "," Chd6 ",0.00119,0.0131,-0.539
"330"," ENSMUSG00000017548 "," Suz12 ",0.000319,0.00474,-0.538
"331"," ENSMUSG00000029101 "," Rgs12 ",5.73e-05,0.00121,-0.537
"332"," ENSMUSG00000002222 "," Rmnd5a ",0.00047,0.0064,-0.537
"333"," ENSMUSG00000050912 "," Tmem123 ",0.000227,0.00361,-0.534
"334"," ENSMUSG00000026170 "," Cyp27a1 ",0.0105,0.0648,-0.533
"335"," ENSMUSG00000038545 "," Cul7 ",0.000491,0.00666,-0.532
"336"," ENSMUSG00000000823 "," Znf512b ",0.00637,0.0458,-0.532
"337"," ENSMUSG00000023206 "," Il15ra ",0.000942,0.0109,-0.531
"338"," ENSMUSG00000038564 "," Ift172 ",0.000254,0.00396,-0.531
"339"," ENSMUSG00000020101 "," 4632428N05Rik ",0.000204,0.00333,-0.529
"340"," ENSMUSG00000027351 "," Spred1 ",0.000534,0.00702,-0.529
"341"," ENSMUSG00000032740 "," Ccdc88a ",0.000339,0.00498,-0.529
"342"," ENSMUSG00000036402 "," Gng12 ",0.000914,0.0106,-0.528
"343"," ENSMUSG00000029059 "," Fam213b ",0.0247,0.119,-0.527
"344"," ENSMUSG00000038866 "," Zcchc2 ",0.000916,0.0106,-0.527
"345"," ENSMUSG00000041936 "," Agrn ",0.00301,0.0262,-0.525
"346"," ENSMUSG00000036356 "," Csgalnact1 ",3.26e-06,0.000119,-0.525
"347"," ENSMUSG00000069662 "," Marcks ",0.00487,0.0375,-0.525
"348"," ENSMUSG00000027189 "," Trim44 ",0.000111,0.00206,-0.523
"349"," ENSMUSG00000018417 "," Myo1b ",1.64e-05,0.000433,-0.523
"350"," ENSMUSG00000021340 "," Gpld1 ",0.0115,0.0692,-0.522
"351"," ENSMUSG00000015189 "," Casd1 ",0.000887,0.0104,-0.522
"352"," ENSMUSG00000028980 "," H6pd ",0.0115,0.0692,-0.522
"353"," ENSMUSG00000029647 "," Pan3 ",9.12e-05,0.00174,-0.521
"354"," ENSMUSG00000040761 "," Spen ",0.00477,0.0369,-0.52
"355"," ENSMUSG00000029407 "," Uso1 ",0.00144,0.0152,-0.52
"356"," ENSMUSG00000014599 "," Csf1 ",0.000958,0.011,-0.519
"357"," ENSMUSG00000024294 "," Mib1 ",0.000791,0.00946,-0.519
"358"," ENSMUSG00000020841 "," Cpd ",0.00169,0.0172,-0.519
"359"," ENSMUSG00000032220 "," Myo1e ",0.00846,0.0561,-0.519
"360"," ENSMUSG00000079037 "," Prnp ",0.00729,0.0504,-0.519
"361"," ENSMUSG00000022837 "," Iqcb1 ",0.000219,0.00353,-0.517
