gene_endo_factor3;gene_endo_factor8;gene_endo_factor15;gene_endo_factor17
Ldlrad4;Cep83os;Ssh1;Rpl29
Camk2n2;Ghr;Snai2;Strap
Cdc42ep4;Jup;Nt5dc3;Txnrd2
Elovl6;Adgrf5;Etf1;Rpl12
Homer1;Prx;Klf6;Serpina3n
Gm17455;Sema3g;Epha2;Trp53I13
Zc3h6;Bdp1;Gadd45a;Srm
Med13l;H2-M3;Neat1;Psenen
Mt2;Fam208a;Hspa5;Eef1d
Pim3;Olfr56;Slc7a1;Myo19
Cirbp;Oas2;Gm27010;Efl1
Gpbp1;Tap1;Dnaja1;Fuca2
Sun2;P2rx4;Sat1;Eif3k
Apon;Cadps2;Mcl1;Tomm20
Slc6a6;Sema3c;Brd2;Numbl
Atrnl1;Prex2;Tgoln1;Glrx5
Tef;Adrb2;Rabgef1;Drap1
Ctps;Nkd1;Tiparp;Tma7
Sbsn;Cav2;Map2k3;Bysl
Armc3;Meis1;Rnd1;Cyb5r1
Mapk15;Amigo1;Pvr;Etfa
Mecom;Nckap5;Arf6;Gm3550
Hdc;Plxnc1;Eif1a;Tsc2
Fut2;Snx21;Cars;Rpl37
Eogt;Arl4d;Sec24a;Tomm7
Sec1;Stt3b;Atg2a;Serpinb9
Cep63;Cd47;Cd14;Glra1
Exoc3l4;Adgrl3;Lmna;Zfp354b
Gm26767;Numb;Prr7;Crls1
Oaf;Akap7;Kansl3;Llph
Patl1;Ifi47;Nfat5;Tspan5
Samsn1;H2-T24;Tmem11;Rpl36al
Gm15728;Cacfd1;Hspd1;Rpl13
Borcs6;Akap9;Ddx3Y;Rps18
Crybb3;1110034G24Rik;Pcna;Rps13
Zhx2;Gm4951;Nedd9;Tmem189
Samd14;Ido1;Sdc4;Rps26
Fbxw10;Slc16A9;Glul;Hspb11
Map3k14;Thap3;Gpr4;Zfp667
Slc25a47;Atp2a3;Tsc22d2;Commd7
Rbm12b1;Efnb2;Serpine1;Mrpl30
Rbm48;Gkap1;Dnajb4;S100A11
Ddit4;Ly6c1;Bcl10;Rpl17
Gm26545;Glb1L2;Eed;Ndufb6
Gm10605;Ucp2;Ipmk;Rpl35a
Mettl2;Champ1;Ccr7;Rps28
Pim1;S1pr1;Smim24;Timp1
Dph5;Cep290;P2ry2;Rsl24d1
Mrpl38;Qsox1;Nod2;Tbc1d24
Ddx31;Hilpda;Slc20a1;Eif5a
Cdkl1;Ctsd;Trps1;Sec61a1
Ctrb1;Snx14;Abl2;Nhp2
Bcor;Nucks1;Radil;Rpl24
Irf1;Epha4;Klf11;Mrpl10
Lyrm7;Ntn1;Yrdc;Pus7
Lemd2;Aph1a;Furin;Rack1
Icam1;Ehd4;Olfr328;Tor1aip2
Tmem91;Tmeff1;1810013L24Rik;Commd1
Epb41l4aos;Taz;Hmox1;Pitpna
Fbxo28;Gcfc2;Wac;Bex3
2310015A10Rik;Dhcr24;Neurl3;Rps15
Fgf2;Ankrd44;Relb;Macrod1
Mga;Aatk;Hspa1b;Atpif1
Mb21d2;Fgfr3;Arl5b;Ssr4
Ninj1;Aard;Iqgap1;Prelp
Pik3r5;Gcc2;Gprc5a;Ngf
Ints6;Acap2;Sqstm1;P2ry6
Alg12;Alas1;Gm12840;Znrd1
